BLOCKER | apps/backend-rag/backend/tests/unit/research_os/research_os_admission_reference.py:166 | Rule 5 resolves a valid, hash-correct `IntelEvent`, but never binds it to the admitted record: it does not compare event `source.uri`, `identity.content_hash`, or `payload_ref.content_hash` with `document_id` and `document_content_hash`; it also ignores `source_event_ref.object_hash` | A record can borrow any unrelated canonical event and be ADMITTED with fictional provenance.

BLOCKER | apps/backend-rag/backend/tests/unit/research_os/research_os_admission_reference.py:118 | Rule 1 accepts the self-asserted boolean `statement.derived_from_span`; it never derives or verifies the statement triple against the quoted span | A fabricated triple is admitted whenever its quote occurs somewhere in the body and the caller sets the boolean to `true`.

BLOCKER | apps/backend-rag/backend/tests/unit/research_os/research_os_admission_reference.py:152 | Rule 4 verifies only that `quote_hash == sha256(quoted_text)` and that `locator` is truthy; it never resolves the locator against the document or proves that the quote occurs at that location | A genuine quote paired with a fictional locator is ADMITTED.

BLOCKER | apps/backend-rag/backend/tests/unit/research_os/research_os_admission_reference.py:210 | Rule 3 checks only that `document_version_id` is non-empty, despite the contract requiring a version for the specific `(document_id, body hash)` | An invented version identifier is accepted without resolution.

BLOCKER | apps/backend-rag/backend/tests/unit/research_os/research_os_reader_reference.py:379 | `_group()` attaches an edge only when `edge.family_id == claim.claim_family_id`, but the shipped seed correction uses `naga.claim_family.bdd…` while its claims use bare `bdd…` (`01_z2_seed_cohort.json:1263,1312,1370`) | The reference reader ignores the real fixture’s correction edge. The temporal tests conceal this by manufacturing edges whose family ID already uses the reader’s private shape.

BLOCKER | apps/backend-rag/backend/tests/unit/research_os/research_os_reader_reference.py:320 | `non_unique_current_member` is checked only after filtering by `known_at`, rather than during integrity-before-temporal-filtering | A structurally invalid family with multiple terminal members can return `Abstain` when those members are in the future, bypassing quarantine based on system time.

MEDIUM | apps/backend-rag/backend/tests/unit/research_os/test_research_os_admission_rows.py:246 | The malformed-event mutation deletes `classification` without recomputing the event hash | Schema validation and `IntelEvent.model_validate` can both be deleted; hash verification alone still rejects both subcases, so this test does not guard the claimed schema/model validation.

MEDIUM | apps/backend-rag/backend/tests/unit/research_os/test_research_os_admission_rows.py:229 | This test is satisfied by a stub that performs only `event_id in source["intel_events"]` | It guards mapping membership, but not canonical validity, hash integrity, or record-to-event provenance binding.

MEDIUM | apps/backend-rag/backend/tests/unit/research_os/test_research_os_admission_rows.py:271 | This test is satisfied by unconditional `Admitted(...)` behavior—or the reverted presence-only implementation—because it exercises only positive fixtures | It contributes no protection against Rule 5 regression.

MEDIUM | apps/backend-rag/backend/tests/unit/research_os/test_research_os_admission_rows.py:315 | Every mutation introduces one defect at a time; there is no row with two simultaneous defects asserting the first reason | Rules 2–10 can be reordered without detection. Deterministic first-failure ordering is claimed but not tested beyond Rule 1 remaining first for the legacy fixture.

MEDIUM | apps/backend-rag/backend/tests/unit/research_os/test_research_os_temporal_rows.py:174 | All temporal cases use private helper-generated claims and edges; none executes `read()` over the committed bitemporal or correction fixtures | The fixture/reader family-ID incompatibility survives while every temporal test remains green.

MEDIUM | research/operations/execution/research-os-v1.0.0/evidence/p06/ros-v1-p06-naga-prep-b01/fixtures/seed_public_regulatory/01_z2_seed_cohort.json:21 | The cohort uses realistic Indonesian regulatory figures—KITAS Rp2.75m, PMA Rp11bn, LKPM day 10, DKP-TKA USD1,200/month, and a five-year permit—inside government-instrument prose | Although stamped synthetic, these are plausible enough to be copied or displayed as regulatory facts. The contract explicitly asks to flag figures that could be mistaken for real sourced rules.

LOW | apps/backend-rag/backend/tests/unit/research_os/test_research_os_p06_fixture_bundle.py:334 | The atomic-correction test covers only `supersession/01`; there is no equivalent assertion for the newly added seed-cohort correction pair | The seed pair’s predecessor immutability, identical binding, later `recorded_at`, and single edge are currently facts of the JSON, not guarded invariants.

LOW | apps/backend-rag/backend/tests/unit/research_os/test_research_os_temporal_rows.py:111 | Reward-hacking surface: a lookup stub keyed by the supplied IDs/timestamps would satisfy every temporal test explicitly named here: `test_the_lower_boundary_is_included`, `test_the_upper_boundary_is_excluded`, `test_a_microsecond_decides_which_interval_answers`, `test_an_open_upper_bound_answers_for_every_later_instant`, `test_before_discovery_the_old_version_answers`, `test_after_discovery_the_correction_answers_and_the_predecessor_is_untouched`, `test_before_anything_was_recorded_the_reader_abstains`, `test_a_finite_expiry_is_never_extended_by_succession`, `test_an_unknown_subject_key_abstains_rather_than_guessing`, `test_a_fork_quarantines_and_never_picks_a_winner`, `test_a_quarantined_family_is_not_bypassed_by_a_sound_one`, `test_two_families_answering_the_same_question_quarantine_rather_than_rank`, and `test_a_null_valid_from_on_a_consequential_claim_is_inadmissible` | Expected values are encoded in the same helper data that drives the implementation; no real fixture or independent oracle closes the loop.

REWORK — the single most dangerous defect is that any unrelated valid IntelEvent can be borrowed to admit a record with fictional provenance.
