automation_id;display_name;automation_type;host;schedule;schedule_tz;status;blast_radius;critical;affects_clients;is_idempotent;side_effects;has_fallback;has_lock;script_path;log_path;restart_cmd;infra_deps;external_api_deps;blocks_jobs;staleness_threshold_h;last_success_at;last_failure_at;failure_count_7d;owner;on_call_notify;description;documented_in;in_claude_md;has_tests;last_modified_at;notes
air-launchd-openclaw-node;OpenClaw Node Host;launchd;air;always_on;UTC;ok;CRITICAL;true;true;true;none;true;none;~/.npm-global/lib/node_modules/openclaw/dist/index.js;/tmp/openclaw/;launchctl kickstart -k gui/$(id -u)/ai.openclaw.node;ollama_local;;air-launchd-cell;1;;;0;zero;telegram:413539912;Runtime OpenClaw Air — gateway 129 MCP tools su localhost:18789. Se muore tutti gli agenti AI diventano non disponibili.;CLAUDE.md §11 OpenClaw;true;false;2026-03-22;v2026.2.25. Se PID=- controlla /tmp/openclaw/. KeepAlive=true si riavvia da solo.
air-launchd-cell;CELL Organism (AI Loop);launchd;air;always_on;UTC;degraded;MEDIUM;false;false;true;none;true;none;apps/cell/.venv/bin/python -m cell.main;/tmp/cell.stdout.log;launchctl kickstart -k gui/$(id -u)/com.cell.organism;;gemini_api|telegram_bot_api;;6;;;0;zero;telegram:413539912;Agente CELL autonomo. Attualmente Health=RED (Qwen+Gemini falliscono). Non bloccante per business.;CLAUDE.md §11;false;false;2026-03-22;Health=RED — investigare se impatta altri flussi AI
air-launchd-claude-max-api;Claude Max API Bridge;launchd;air;always_on;UTC;ok;MEDIUM;false;false;true;none;true;none;~/.npm-global/bin/claude-max-api;/tmp/claude-max-api.log;launchctl kickstart -k gui/$(id -u)/com.claude-max-api;;anthropic_api;;24;;;0;zero;telegram:413539912;Bridge API per accesso Claude Max da Air.;CLAUDE.md §11;false;false;2026-03-14;
air-launchd-openclaw-monitor-pro;OpenClaw Monitor Pro;launchd;air;*/5min;UTC;ok;LOW;false;false;true;none;true;none;~/.openclaw/scripts/monitor-pro.sh;/tmp/openclaw/monitor-pro-stdout.log;launchctl kickstart -k gui/$(id -u)/com.openclaw.monitor-pro;;ssh_pro;;1;;;0;zero;telegram:413539912;SSH ping a Pro ogni 5min — verifica raggiungibilità e git sync.;docs/PRO_AIR_CONNECTION.md;false;false;2026-03-22;
air-launchd-nightly-sync;Nightly Git Sync Air←Pro;launchd;air;02:00 WITA;Asia/Makassar;ok;MEDIUM;false;false;true;none;false;none;scripts/nz-nightly.sh;/tmp/nuzantara-nightly-sync.log;launchctl kickstart -k gui/$(id -u)/com.nuzantara.nightly-sync;local_fs;ssh_pro;;25;;;0;zero;telegram:413539912;git pull pro main --ff-only. Sync Air con Pro ogni notte.;CLAUDE.md §16 Federation;true;false;2026-03-31;Era ERR=127 (script mancante) — fixato 2026-03-31
air-launchd-docker-health;Docker/Services Health Check;launchd;air;*/30min;UTC;ok;LOW;false;false;true;none;false;none;~/scripts/docker-health-check.sh;~/scripts/docker-health-stderr.log;launchctl kickstart -k gui/$(id -u)/com.user.docker-health-check;postgres_local|redis|qdrant_local;;;1;;;0;zero;telegram:413539912;Verifica PostgreSQL 17 + Redis (brew services) + Qdrant (:6333) ogni 30min.;;false;false;2026-03-31;Era ERR=127 — fixato 2026-03-31
air-launchd-weekly-cleanup;Weekly Cleanup Air;launchd;air;Sun 02:00 WITA;Asia/Makassar;ok;LOW;false;false;true;file_created;false;none;~/scripts/cleanup-weekly.sh;;launchctl kickstart -k gui/$(id -u)/com.user.weekly-cleanup;local_fs;;;192;;;0;zero;telegram:413539912;Pulizia tmp, log rotation, disk space. Solo domenica.;;false;false;2026-03-14;
air-launchd-fly-pg-tunnel;Fly Postgres Tunnel (Always-On);launchd;air;always_on;UTC;ok;CRITICAL;true;true;true;none;true;none;/opt/homebrew/bin/fly proxy 15432:5432 -a nuzantara-postgres --bind-addr 127.0.0.1;logs/fly-pg-tunnel.log;launchctl kickstart -k gui/$(id -u)/com.nuzantara.fly-pg-tunnel;fly_io|postgres_fly;;air-cron-crm-automation;1;;;0;zero;telegram:413539912;Mantiene localhost:15432 sempre aperto → crm_automation_engine.py e script locali possono connettersi a Fly Postgres senza tunnel manuale.;AUTOMATIONS_REFERENCE.md §2.9;true;false;2026-03-31;KeepAlive=true ThrottleInterval=10s. Script fly reads token da ~/.fly/config.yml
air-launchd-homebrew-postgres;PostgreSQL 17 Air (Homebrew);launchd;air;always_on;UTC;ok;HIGH;true;false;true;none;true;none;/opt/homebrew/opt/postgresql@17/bin/postgres;/opt/homebrew/var/log/postgresql@17.log;brew services restart postgresql@17;postgres_local;;;1;;;0;zero;telegram:413539912;PostgreSQL 17 locale Air. Usato da test locali e alcune migrazioni.;;false;false;2026-03-01;
air-launchd-homebrew-redis;Redis Air (Homebrew);launchd;air;always_on;UTC;ok;MEDIUM;false;false;true;none;true;none;/opt/homebrew/opt/redis/bin/redis-server;/opt/homebrew/var/log/redis.log;brew services restart redis;redis;;;1;;;0;zero;telegram:413539912;Redis locale Air. Usato da script/test locali.;;false;false;2026-03-01;
