shot_id,priority,category,purpose,pose,expression,crop,lighting,background,outfit,hair,jewelry,qa_gate,prompt
ZAN-V1-PRI-001,P0,identity_anchor,missing high-resolution primary front anchor,front-facing,neutral calm,head and shoulders,soft front studio light,neutral gray studio background,ivory silk blouse with delicate gold floral embroidery,"long straight black hair, center part",small gold hoop earrings,must match A001/A002 face before use,"Ultra-realistic photorealistic RAW image of Zantara, the same adult Indonesian woman from the official Zantara v1 anchors. Preserve facial identity: warm medium skin tone, dark almond-shaped eyes, defined cheekbones, same hairline, natural proportions, subtle makeup, sharp black eyeliner. Hair: long straight black hair, center part. Jewelry: small gold hoop earrings. Outfit: ivory silk blouse with delicate gold floral embroidery. Background: neutral gray studio background. Lighting: soft front studio light. Single subject only, no collage, no text, no logo, no watermark, realistic skin texture, natural pores, no plastic skin. Pose: front-facing. Expression: neutral calm. Crop: head and shoulders. Negative: no identity drift, no generic beauty model, no changed eye shape, no changed jaw, no waxy retouching, no deformed hands, no inconsistent wardrobe."
ZAN-V1-PRI-002,P0,identity_anchor,front anchor alternate expression,front-facing,serious protective,head and shoulders,soft front studio light,neutral gray studio background,ivory silk blouse with delicate gold floral embroidery,"long straight black hair, center part",small gold hoop earrings,must match A001/A002 face before use,"Ultra-realistic photorealistic RAW image of Zantara, the same adult Indonesian woman from the official Zantara v1 anchors. Preserve facial identity: warm medium skin tone, dark almond-shaped eyes, defined cheekbones, same hairline, natural proportions, subtle makeup, sharp black eyeliner. Hair: long straight black hair, center part. Jewelry: small gold hoop earrings. Outfit: ivory silk blouse with delicate gold floral embroidery. Background: neutral gray studio background. Lighting: soft front studio light. Single subject only, no collage, no text, no logo, no watermark, realistic skin texture, natural pores, no plastic skin. Pose: front-facing. Expression: serious protective. Crop: head and shoulders. Negative: no identity drift, no generic beauty model, no changed eye shape, no changed jaw, no waxy retouching, no deformed hands, no inconsistent wardrobe."
ZAN-V1-PRI-003,P0,angle,missing left profile,left profile 90 degrees,neutral,bust profile portrait,soft side light from camera-right,neutral gray studio background,ivory silk blouse with delicate gold floral embroidery,"long straight black hair, center part",small gold hoop earrings,"profile must keep nose, brow, jaw coherent","Ultra-realistic photorealistic RAW image of Zantara, the same adult Indonesian woman from the official Zantara v1 anchors. Preserve facial identity: warm medium skin tone, dark almond-shaped eyes, defined cheekbones, same hairline, natural proportions, subtle makeup, sharp black eyeliner. Hair: long straight black hair, center part. Jewelry: small gold hoop earrings. Outfit: ivory silk blouse with delicate gold floral embroidery. Background: neutral gray studio background. Lighting: soft side light from camera-right. Single subject only, no collage, no text, no logo, no watermark, realistic skin texture, natural pores, no plastic skin. Pose: left profile 90 degrees. Expression: neutral. Crop: bust profile portrait. Negative: no identity drift, no generic beauty model, no changed eye shape, no changed jaw, no waxy retouching, no deformed hands, no inconsistent wardrobe."
ZAN-V1-PRI-004,P0,angle,balanced profile pair,right profile 90 degrees,neutral,bust profile portrait,soft side light from camera-left,neutral gray studio background,ivory silk blouse with delicate gold floral embroidery,"long straight black hair, center part",small gold hoop earrings,compare to existing B011 before approval,"Ultra-realistic photorealistic RAW image of Zantara, the same adult Indonesian woman from the official Zantara v1 anchors. Preserve facial identity: warm medium skin tone, dark almond-shaped eyes, defined cheekbones, same hairline, natural proportions, subtle makeup, sharp black eyeliner. Hair: long straight black hair, center part. Jewelry: small gold hoop earrings. Outfit: ivory silk blouse with delicate gold floral embroidery. Background: neutral gray studio background. Lighting: soft side light from camera-left. Single subject only, no collage, no text, no logo, no watermark, realistic skin texture, natural pores, no plastic skin. Pose: right profile 90 degrees. Expression: neutral. Crop: bust profile portrait. Negative: no identity drift, no generic beauty model, no changed eye shape, no changed jaw, no waxy retouching, no deformed hands, no inconsistent wardrobe."
ZAN-V1-PRI-005,P0,body,standing production reference,standing front-facing,neutral confident,full body standing,soft front studio light,neutral gray studio background,ivory embroidered blouse with simple black tailored trousers,"long straight black hair, center part",small gold hoop earrings,hands must be natural or relaxed out of frame,"Ultra-realistic photorealistic RAW image of Zantara, the same adult Indonesian woman from the official Zantara v1 anchors. Preserve facial identity: warm medium skin tone, dark almond-shaped eyes, defined cheekbones, same hairline, natural proportions, subtle makeup, sharp black eyeliner. Hair: long straight black hair, center part. Jewelry: small gold hoop earrings. Outfit: ivory embroidered blouse with simple black tailored trousers. Background: neutral gray studio background. Lighting: soft front studio light. Single subject only, no collage, no text, no logo, no watermark, realistic skin texture, natural pores, no plastic skin. Pose: standing front-facing. Expression: neutral confident. Crop: full body standing. Negative: no identity drift, no generic beauty model, no changed eye shape, no changed jaw, no waxy retouching, no deformed hands, no inconsistent wardrobe."
ZAN-V1-PRI-006,P0,body,seated production reference,seated front-facing,calm attentive,half body seated,soft front studio light,neutral gray studio background,ivory silk blouse with delicate gold floral embroidery,"long straight black hair, center part",small gold hoop earrings,hands must be anatomically clean,"Ultra-realistic photorealistic RAW image of Zantara, the same adult Indonesian woman from the official Zantara v1 anchors. Preserve facial identity: warm medium skin tone, dark almond-shaped eyes, defined cheekbones, same hairline, natural proportions, subtle makeup, sharp black eyeliner. Hair: long straight black hair, center part. Jewelry: small gold hoop earrings. Outfit: ivory silk blouse with delicate gold floral embroidery. Background: neutral gray studio background. Lighting: soft front studio light. Single subject only, no collage, no text, no logo, no watermark, realistic skin texture, natural pores, no plastic skin. Pose: seated front-facing. Expression: calm attentive. Crop: half body seated. Negative: no identity drift, no generic beauty model, no changed eye shape, no changed jaw, no waxy retouching, no deformed hands, no inconsistent wardrobe."
ZAN-V1-PRI-007,P1,lighting,controlled side light left,front-facing,neutral,head and shoulders,side light from camera-left,neutral gray studio background,ivory silk blouse with delicate gold floral embroidery,"long straight black hair, center part",small gold hoop earrings,"same identity, no face reshaping from shadow","Ultra-realistic photorealistic RAW image of Zantara, the same adult Indonesian woman from the official Zantara v1 anchors. Preserve facial identity: warm medium skin tone, dark almond-shaped eyes, defined cheekbones, same hairline, natural proportions, subtle makeup, sharp black eyeliner. Hair: long straight black hair, center part. Jewelry: small gold hoop earrings. Outfit: ivory silk blouse with delicate gold floral embroidery. Background: neutral gray studio background. Lighting: side light from camera-left. Single subject only, no collage, no text, no logo, no watermark, realistic skin texture, natural pores, no plastic skin. Pose: front-facing. Expression: neutral. Crop: head and shoulders. Negative: no identity drift, no generic beauty model, no changed eye shape, no changed jaw, no waxy retouching, no deformed hands, no inconsistent wardrobe."
ZAN-V1-PRI-008,P1,lighting,controlled side light right,front-facing,neutral,head and shoulders,side light from camera-right,neutral gray studio background,ivory silk blouse with delicate gold floral embroidery,"long straight black hair, center part",small gold hoop earrings,"same identity, no face reshaping from shadow","Ultra-realistic photorealistic RAW image of Zantara, the same adult Indonesian woman from the official Zantara v1 anchors. Preserve facial identity: warm medium skin tone, dark almond-shaped eyes, defined cheekbones, same hairline, natural proportions, subtle makeup, sharp black eyeliner. Hair: long straight black hair, center part. Jewelry: small gold hoop earrings. Outfit: ivory silk blouse with delicate gold floral embroidery. Background: neutral gray studio background. Lighting: side light from camera-right. Single subject only, no collage, no text, no logo, no watermark, realistic skin texture, natural pores, no plastic skin. Pose: front-facing. Expression: neutral. Crop: head and shoulders. Negative: no identity drift, no generic beauty model, no changed eye shape, no changed jaw, no waxy retouching, no deformed hands, no inconsistent wardrobe."
ZAN-V1-PRI-009,P1,lighting,high-key production variant,front-facing,neutral,head and shoulders,high-key soft studio light,clean white studio background,ivory silk blouse with delicate gold floral embroidery,"long straight black hair, center part",small gold hoop earrings,avoid plastic skin,"Ultra-realistic photorealistic RAW image of Zantara, the same adult Indonesian woman from the official Zantara v1 anchors. Preserve facial identity: warm medium skin tone, dark almond-shaped eyes, defined cheekbones, same hairline, natural proportions, subtle makeup, sharp black eyeliner. Hair: long straight black hair, center part. Jewelry: small gold hoop earrings. Outfit: ivory silk blouse with delicate gold floral embroidery. Background: clean white studio background. Lighting: high-key soft studio light. Single subject only, no collage, no text, no logo, no watermark, realistic skin texture, natural pores, no plastic skin. Pose: front-facing. Expression: neutral. Crop: head and shoulders. Negative: no identity drift, no generic beauty model, no changed eye shape, no changed jaw, no waxy retouching, no deformed hands, no inconsistent wardrobe."
ZAN-V1-PRI-010,P1,lighting,dark gray editorial variant,front-facing,neutral,head and shoulders,low-key editorial softbox light,dark neutral gray studio background,ivory silk blouse with delicate gold floral embroidery,"long straight black hair, center part",small gold hoop earrings,retain eye detail,"Ultra-realistic photorealistic RAW image of Zantara, the same adult Indonesian woman from the official Zantara v1 anchors. Preserve facial identity: warm medium skin tone, dark almond-shaped eyes, defined cheekbones, same hairline, natural proportions, subtle makeup, sharp black eyeliner. Hair: long straight black hair, center part. Jewelry: small gold hoop earrings. Outfit: ivory silk blouse with delicate gold floral embroidery. Background: dark neutral gray studio background. Lighting: low-key editorial softbox light. Single subject only, no collage, no text, no logo, no watermark, realistic skin texture, natural pores, no plastic skin. Pose: front-facing. Expression: neutral. Crop: head and shoulders. Negative: no identity drift, no generic beauty model, no changed eye shape, no changed jaw, no waxy retouching, no deformed hands, no inconsistent wardrobe."
