asset_id,filename,path,status,usage_tier,quality_grade,pose,expression,crop,lighting,background,outfit,hair,caption,notes,sha256,width,height
ZAN-V1-A001,zan_v1_a001_primary_3q_bust_anchor.png,approved/anchors/zan_v1_a001_primary_3q_bust_anchor.png,approved,A_anchor,A,three-quarter right,neutral confident,bust portrait,neutral soft studio light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Zantara v1 primary anchor, three-quarter right bust portrait, neutral confident expression, ivory silk blouse with gold embroidery, neutral gray studio, soft light.","Primary face/identity anchor for Flow, Imagen, photo and video prompt matching.",9b6ecbfe8359d77b307bb5fe667119c569ccb0fa374ccfa69703526e61a57fcb,1536,1024
ZAN-V1-A002,zan_v1_a002_primary_3q_face_closeup_anchor.png,approved/anchors/zan_v1_a002_primary_3q_face_closeup_anchor.png,approved,A_anchor,A,three-quarter right,neutral confident,face close-up,neutral soft studio light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Zantara v1 primary face close-up, three-quarter right angle, neutral confident expression, realistic skin texture, center-parted black hair, soft gray studio.",Derived close-up crop from primary anchor for face identity lock.,e76490b9ddc8bf9cb8e24924f3f13f0304e99b6124c978a8a2a40bdc1b4bb5aa,630,730
ZAN-V1-A003,zan_v1_a003_secondary_3q_bust_anchor.png,approved/anchors/zan_v1_a003_secondary_3q_bust_anchor.png,approved,A_anchor,A-,three-quarter right,neutral soft,bust portrait,neutral soft studio light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Zantara v1 secondary high-resolution anchor, three-quarter right bust portrait, neutral soft expression, ivory embroidered blouse, neutral gray studio.",Secondary high-resolution anchor. Keep lower weight than A001.,a53e164f43f68acec3f3976766ceb020b5e42ccf8cf808119a32ec179f5949eb,1536,1024
ZAN-V1-A004,zan_v1_a004_secondary_3q_face_closeup_anchor.png,approved/anchors/zan_v1_a004_secondary_3q_face_closeup_anchor.png,approved,A_anchor,A-,three-quarter right,neutral soft,face close-up,neutral soft studio light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Zantara v1 secondary face close-up, three-quarter right angle, neutral soft expression, realistic skin texture, center-parted black hair, soft gray studio.",Derived close-up crop from secondary anchor.,8cd6b8d2e5bc14e55c8409473031e14ed1692cc8ef27ce1b7850d6ef6a40c1a4,630,730
ZAN-V1-B001,zan_v1_b001_front_neutral_headshot.png,approved/poses/zan_v1_b001_front_neutral_headshot.png,approved,B_pose_expression,B,front-facing,neutral,headshot,neutral soft studio light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Zantara v1 pose reference, front-facing, neutral expression, headshot crop, ivory embroidered blouse, neutral gray studio, soft light.","Split from collage; use for pose/expression reference, not as the strongest face anchor.",ba695f01eb649e7a86b4166f6135e48b366816494028d99fd015b97b6886f882,384,512
ZAN-V1-B002,zan_v1_b002_front_micro_smile_headshot.png,approved/poses/zan_v1_b002_front_micro_smile_headshot.png,approved,B_pose_expression,B,front-facing,micro-smile,headshot,neutral soft studio light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Zantara v1 pose reference, front-facing, micro-smile expression, headshot crop, ivory embroidered blouse, neutral gray studio, soft light.","Split from collage; use for pose/expression reference, not as the strongest face anchor.",2538da09132533026b493e312398f1c90e4c3e9fd7bd21f6f747da373fd7389b,384,512
ZAN-V1-B003,zan_v1_b003_front_serious_headshot.png,approved/poses/zan_v1_b003_front_serious_headshot.png,approved,B_pose_expression,B,front-facing,serious,headshot,neutral soft studio light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Zantara v1 pose reference, front-facing, serious expression, headshot crop, ivory embroidered blouse, neutral gray studio, soft light.","Split from collage; use for pose/expression reference, not as the strongest face anchor.",6ae9068d0d6109d64547197dfa94ba822a7a12c5889dacf9bdb572a3b671c48b,384,512
ZAN-V1-B004,zan_v1_b004_front_soft_smile_headshot.png,approved/poses/zan_v1_b004_front_soft_smile_headshot.png,approved,B_pose_expression,B,front-facing,soft smile,headshot,neutral soft studio light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Zantara v1 pose reference, front-facing, soft smile expression, headshot crop, ivory embroidered blouse, neutral gray studio, soft light.","Split from collage; use for pose/expression reference, not as the strongest face anchor.",19c8a8617f94ce2f20fce900e042fe97534f24f49da48be5cd0e51ee5f1dd59e,384,512
ZAN-V1-B005,zan_v1_b005_gaze_camera_left_headshot.png,approved/poses/zan_v1_b005_gaze_camera_left_headshot.png,approved,B_pose_expression,B,"front-facing, gaze camera-left",neutral sideways gaze,headshot,neutral soft studio light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Zantara v1 pose reference, front-facing, gaze camera-left, neutral sideways gaze expression, headshot crop, ivory embroidered blouse, neutral gray studio, soft light.","Split from collage; use for pose/expression reference, not as the strongest face anchor.",8b589b4fb34ac4a738b56d62da651150177d6248197574b0054464ceb9eaabdb,384,512
ZAN-V1-B006,zan_v1_b006_chin_high_confident_headshot.png,approved/poses/zan_v1_b006_chin_high_confident_headshot.png,approved,B_pose_expression,B,"slight three-quarter right, chin high",confident,headshot,neutral soft studio light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Zantara v1 pose reference, slight three-quarter right, chin high, confident expression, headshot crop, ivory embroidered blouse, neutral gray studio, soft light.","Split from collage; use for pose/expression reference, not as the strongest face anchor.",40061c1c4c3d5a19179c68b4050d0e3207d7ea6e17326d18ca92a7d8ce00c5c7,384,512
