finding_id,family,code,file,line,claim,confidence,runtime_dependent,suggested_fix
B-TRACE-001,FIELD_TRACE,,apps/mouth/src/lib/kbli-data.ts,438,Loader kbli-data.ts reads data/KBLI_2025_FINAL_CLEAN.json (cwd-relative); sha256 identical to corpus copy in data/source_documents,1.00,false,Keep; add a build-time sha256 guard against the source_documents copy
B-TRACE-002,FIELD_TRACE,,apps/mouth/src/app/kbli/[code]/page.tsx,266,Code pill renders kbli.code = corpus kode_kbli_2025 verbatim,1.00,false,None
B-TRACE-003,FIELD_TRACE,,apps/mouth/src/app/kbli/[code]/page.tsx,843,"Lead paragraph renders kbli.description = corpus uraian verbatim, but only on the non-gold, non-intel branch: 1509 of 1559 codes",1.00,false,Render uraian on every layout (also gold/intel) so OSS wording is always on the page
B-TRACE-004,FIELD_TRACE,,apps/mouth/src/lib/kbli-data.ts,387,kbli.description is assigned raw.uraian with no transformation in the loader,1.00,false,None
B-TRACE-005,FIELD_TRACE,,apps/mouth/src/app/kbli/[code]/page.tsx,404,"RiskBadge reads per_skala[0].kategori_risiko (first row only), label mapped to English in RiskBadge.parseRisk",1.00,false,"State which skala/scope row the badge summarises, or show the tier range"
B-TRACE-006,FIELD_TRACE,,apps/mouth/src/app/kbli/[code]/page.tsx,894,License Type cell reads per_skala[0].perizinan via resolveLicenseType; empty perizinan falls back to risk-derived label,1.00,false,"Label the risk-derived fallback as derived, not as OSS data"
B-TRACE-007,FIELD_TRACE,,apps/mouth/src/app/kbli/[code]/page.tsx,918,Processing cell reads per_skala[0].jangka_waktu through formatTimeframe (rewrites Otomatis and bare day counts),1.00,false,Show the raw jangka_waktu value next to the English rendering
B-TRACE-008,FIELD_TRACE,,apps/mouth/src/app/kbli/[code]/page.tsx,906,"Foreign Ownership cell derives from pma_status, pma_max_asing, pma_cap_verified, pma_cap_special via formatPmaOwnership",1.00,false,None
B-TRACE-009,FIELD_TRACE,,apps/mouth/src/app/kbli/[code]/page.tsx,408,TransitionBadge reads status_mapping and bps_2020_ancestors.codes; hidden when ancestors list is empty,1.00,false,None
B-TRACE-010,FIELD_TRACE,,apps/mouth/src/app/kbli/[code]/page.tsx,411,"BaliStatusBadge reads l4_bali.status, reason, confidence, needs_review (gated on PMA verdict located)",1.00,false,None
