question,ground_truth,category
"Cron drive-poll runs every 5min on Pro and Mini simultaneously; both pull same Drive change events and both UPDATE crm_practices.status to 'in_review'. Result: doppia Telegram alert + race on UPDATE.","Pattern 1: Single-flight / lease / idempotency guard",concurrency
"PG NOTIFY fires when canva_renderer_v2 emits wr2_status_change; listener disconnects for 5s during cron rotation; events lost forever.","Pattern 2: Durable queue / outbox / DLQ / replay contract",reliability
"Backend FastAPI lifespan stuck on RAG cold-start; /health returns 200 because endpoint never checks app.state.startup_failed.","Pattern 3: Heartbeat / liveness / watchdog contract",observability
"Claude OAuth quota exhausted mid-cron-wave; agent fails with 'out of extra usage'; downstream pipeline halts because wrapper has no fallback.","Pattern 4: Provider cascade + circuit breaker + degraded-mode",resilience
"Write tool returned success but file disappeared 30s later because sibling claude session auto-cleanup ran git checkout on different branch.","Pattern 5: Empirical post-action verification",integrity
"Two LaunchAgents (com.balizero.intel.nightly + com.balizero.intel.morning) both fire at 03:00 WITA on Pro; both pg_listen on intel_event channel and both consume the same event, double-publishing the briefing to Telegram.","Pattern 1: Single-flight / lease / idempotency guard",concurrency
"Backend ingestion silently swallows OpenAI 400 'max_tokens_per_request' on legal docs >300k tokens; LegalIngestionService returns chunks_created=0 but status=ok; ingest pipeline marks the document indexed when 0 chunks actually shipped.","Pattern 2: Durable queue / outbox / DLQ / replay contract",reliability
"agent-library-evolver Sunday cron runs; psql connection to DATABASE_URL=flycast fails with nodename-not-known; wrapper interprets empty stdout as 'lock held' and exits 3 instead of degrading gracefully.","Pattern 3: Heartbeat / liveness / watchdog contract",observability
"DeepSeek API rate-limits a single evolver run; executor raises DeepSeekTransientError; wrapper has no Ollama qwen fallback configured, so the whole weekly run aborts with zero proposals shipped.","Pattern 4: Provider cascade + circuit breaker + degraded-mode",resilience
"Wrapper logs FATAL after evoskill non-zero exit but does NOT re-verify telemetry.json on disk; subsequent enforce_budget reads stale 0.0 cost because the file was never written; budget check passes erroneously and the run proceeds to PR creation with no proposals.","Pattern 5: Empirical post-action verification",integrity
"Tax brief generator queries NB-4 for PPN rate and returns 12% headline for a hotel client; the NB-4 source predates PMK 131/2024 so the effective 11% (DPP Nilai Lain 11/12) and the hotel-is-PBJT-not-PPN carve-out are missing. Single-LLM accepted the stale source as authoritative; no check on source ingest date before citing.","Pattern 6: Ground-truth verifier with freshness check (NotebookLM)",ground-truth
"client-case-quote-generator routes a property KBLI question to NB-1 (immigration) instead of NB-5 (property); NB-1 returns NOT_FOUND and the agent reports 'no regulation governs this' to the client, when the regulation exists in the correct notebook.","Pattern 6: Ground-truth verifier with freshness check (NotebookLM)",ground-truth
"deep-researcher ships a 4000-word visa-policy dossier straight to the client after a single Claude pass; it contains a hallucinated KBLI code and a miscalculated PPh21 figure that one adversarial reviewer would have caught. No second pair of eyes ran before publish.","Pattern 7: Bounded adversarial review gate",quality-gate
"A spec for the office-personal-channel-block was approved on the author's own read-through; the C4 tamper-detection design had a load-bearing flaw that a parallel Gemini+DeepSeek+Codex review would have flagged, but it shipped because the design 'seemed obvious'.","Pattern 7: Bounded adversarial review gate",quality-gate
"Orchestrator fans out 6 WR2 carousel-render agents at once on Pro, each calling Google Flow; the simultaneous wave exhausts the AI Ultra Flow credit window mid-run and half the renders 403. There was no cap on how many external-provider jobs run concurrently.","Pattern 8: Parallel wave orchestration with capacity caps",orchestration
"A wave session dispatched four peer agents with no orchestrator coordinating them; two independently edited the same deploy worktree and a third triggered a prod Fly deploy while a sibling was mid-migration, amplifying one small error across the whole batch.","Pattern 8: Parallel wave orchestration with capacity caps",orchestration
"WR2 hero-image step does cp ../test-1/placeholder-hero.jpg . to reuse an asset and writes image_source unset; twelve consecutive carousels ship the same 'paper on dark desk' hero. Filenames differed run-to-run so nobody noticed the bytes were identical.","Pattern 9: Artifact provenance / hash anchoring",integrity
"Intel-lake reuses an embedding fragment from a prior run keyed only by document filename; the file was re-uploaded with edited content but the same name, so the pipeline serves stale vectors as if fresh. No content hash was compared before reuse.","Pattern 9: Artifact provenance / hash anchoring",integrity
"CRM worker reports 'invoice email sent OK' and exits 0, but Brevo silently rejected the payload and zero emails left; the wrapper trusted the 200 from its own enqueue call and never queried Brevo's delivery status afterward to confirm the send actually happened.","Pattern 5: Empirical post-action verification",integrity
"wa-mirror cutover script logs 'migration applied: 5 tables' and exits 0; the migration transaction had actually rolled back, but the wrapper printed a hardcoded count instead of running SELECT against information_schema to confirm the tables exist on disk.","Pattern 5: Empirical post-action verification",integrity
"events_outbox consumer for CRM mutations does an HTTP POST to kita.balizero.com/inbox and moves on; during a rolling Fly deploy the endpoint 502s for 8s and those mutation events are dropped, because the producer fired directly instead of writing to a durable outbox drained by a separate retrying consumer.","Pattern 2: Durable queue / outbox / DLQ / replay contract",reliability
"regulatory-watcher detects a new regulation delta and pg_notify's the briefing channel; the sole listener was restarting for a config reload at that instant, so the delta is lost forever and the morning briefing omits it. No replay log exists to recover the missed event.","Pattern 2: Durable queue / outbox / DLQ / replay contract",reliability
"post_publish_poller daemon's PID is alive and it logs a heartbeat every 30s, but it has been silently processing zero rows for 6 hours because its DB cursor wedged; monitoring only checks that the process exists and that a heartbeat line appears, never that the work-done metric is advancing.","Pattern 3: Heartbeat / liveness / watchdog contract",observability
"evolver wrapper's psql probe returns empty stdout when flycast DNS fails to resolve; the wrapper interprets empty output as 'advisory lock held by another run' and exits 3, when in fact no run is holding the lock — it simply can't tell the DB is unreachable. There is no liveness check that the psql command itself succeeded.","Pattern 3: Heartbeat / liveness / watchdog contract",observability
"memory-sync-bidirectional and nuz-sync both fire at the same minute and each opens a git push to the same feature branch; without an atomic claim on the sync slot they race and one push clobbers the other's ref. The fix is a single-flight lease on the sync key, not a bigger orchestration wave.","Pattern 1: Single-flight / lease / idempotency guard",concurrency
