shot_id,category,pose,expression,crop,lighting,background,outfit,hair,prompt
ZAN-V1-GEN-001,identity,front-facing,neutral calm expression,head and shoulders,soft front light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, soft front light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: front-facing. Expression: neutral calm expression. Crop: head and shoulders."
ZAN-V1-GEN-002,identity,front-facing,slight smile,head and shoulders,soft front light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, soft front light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: front-facing. Expression: slight smile. Crop: head and shoulders."
ZAN-V1-GEN-003,identity,front-facing,serious,head and shoulders,soft front light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, soft front light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: front-facing. Expression: serious. Crop: head and shoulders."
ZAN-V1-GEN-004,identity,front-facing,eyes closed,head and shoulders,soft front light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, soft front light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: front-facing. Expression: eyes closed. Crop: head and shoulders."
ZAN-V1-GEN-005,identity,"front-facing, looking down",calm introspective,head and shoulders,soft front light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, soft front light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: front-facing, looking down. Expression: calm introspective. Crop: head and shoulders."
ZAN-V1-GEN-006,identity,"front-facing, looking camera-left",neutral,head and shoulders,soft front light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, soft front light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: front-facing, looking camera-left. Expression: neutral. Crop: head and shoulders."
ZAN-V1-GEN-007,identity,"front-facing, looking camera-right",neutral,head and shoulders,soft front light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, soft front light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: front-facing, looking camera-right. Expression: neutral. Crop: head and shoulders."
ZAN-V1-GEN-008,identity,three-quarter left,neutral,head and shoulders,soft front light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, soft front light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: three-quarter left. Expression: neutral. Crop: head and shoulders."
ZAN-V1-GEN-009,identity,three-quarter right,neutral,head and shoulders,soft front light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, soft front light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: three-quarter right. Expression: neutral. Crop: head and shoulders."
ZAN-V1-GEN-010,identity,left profile 90 degrees,neutral,head and shoulders,soft side light,neutral gray studio background,"ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings","long straight black hair, center part","Ultra-realistic studio portrait of Zantara, the same adult Indonesian woman from the Zantara v1 official reference dataset, consistent facial identity, natural proportions, warm medium skin tone, dark almond-shaped eyes, defined cheekbones, subtle natural makeup, sharp black eyeliner, long straight black hair, center part, ivory silk blouse with delicate gold floral embroidery, small gold hoop earrings, neutral gray studio background, soft side light, realistic skin texture, natural pores, no plastic skin, eye-level camera, photorealistic RAW photograph, single image only, no collage. Pose: left profile 90 degrees. Expression: neutral. Crop: head and shoulders."
