finding_id,lane,family,code,file_line,science_confidence,runtime_dependent,verdict,method,evidence
A-COV-0001,A,COVERAGE,,data/source_documents/KBLI_2025_FINAL_CLEAN.json:2,1.0,false,CONFIRMED,independent re-derivation with fresh code + script re-run on origin/main 0b56e22f56,"1559/1559 codes, judul EXACT 1559, uraian EXACT 1559, ruang_lingkup EXACT 1338 + both-empty 221, per_skala scope divergence only 49213 (4 entries) — all reproduced"
A-SCH-0001,A,SCHEMA,,data/source_documents/KBLI_2025_FINAL_CLEAN.json:2,1.0,false,CONFIRMED,independent re-derivation with fresh code + script re-run on origin/main 0b56e22f56,"1559/1559 codes, judul EXACT 1559, uraian EXACT 1559, ruang_lingkup EXACT 1338 + both-empty 221, per_skala scope divergence only 49213 (4 entries) — all reproduced"
A-SCH-0002,A,SCHEMA,,data/source_documents/KBLI_2025_FINAL_CLEAN.json:2,1.0,false,CONFIRMED,independent re-derivation with fresh code + script re-run on origin/main 0b56e22f56,"1559/1559 codes, judul EXACT 1559, uraian EXACT 1559, ruang_lingkup EXACT 1338 + both-empty 221, per_skala scope divergence only 49213 (4 entries) — all reproduced"
A-SCH-0003,A,SCHEMA,,data/source_documents/KBLI_2025_FINAL_CLEAN.json:2,1.0,false,CONFIRMED,independent re-derivation with fresh code + script re-run on origin/main 0b56e22f56,"1559/1559 codes, judul EXACT 1559, uraian EXACT 1559, ruang_lingkup EXACT 1338 + both-empty 221, per_skala scope divergence only 49213 (4 entries) — all reproduced"
A-ENR-0001,A,ENRICHMENT,,data/source_documents/KBLI_2025_FINAL_CLEAN.json:2,1.0,false,CONFIRMED,independent re-derivation with fresh code + script re-run on origin/main 0b56e22f56,"1559/1559 codes, judul EXACT 1559, uraian EXACT 1559, ruang_lingkup EXACT 1338 + both-empty 221, per_skala scope divergence only 49213 (4 entries) — all reproduced"
A-ENR-0002,A,ENRICHMENT,,data/source_documents/KBLI_2025_FINAL_CLEAN.json:2,1.0,false,CONFIRMED,independent re-derivation with fresh code + script re-run on origin/main 0b56e22f56,"1559/1559 codes, judul EXACT 1559, uraian EXACT 1559, ruang_lingkup EXACT 1338 + both-empty 221, per_skala scope divergence only 49213 (4 entries) — all reproduced"
A-ENR-0003,A,ENRICHMENT,,data/source_documents/KBLI_2025_FINAL_CLEAN.json:2,1.0,false,CONFIRMED,independent re-derivation with fresh code + script re-run on origin/main 0b56e22f56,"1559/1559 codes, judul EXACT 1559, uraian EXACT 1559, ruang_lingkup EXACT 1338 + both-empty 221, per_skala scope divergence only 49213 (4 entries) — all reproduced"
A-ENR-0004,A,ENRICHMENT,,data/source_documents/KBLI_2025_FINAL_CLEAN.json:2,1.0,false,CONFIRMED,independent re-derivation with fresh code + script re-run on origin/main 0b56e22f56,"1559/1559 codes, judul EXACT 1559, uraian EXACT 1559, ruang_lingkup EXACT 1338 + both-empty 221, per_skala scope divergence only 49213 (4 entries) — all reproduced"
A-ENR-0005,A,ENRICHMENT,,data/source_documents/KBLI_2025_FINAL_CLEAN.json:2,1.0,false,CONFIRMED,independent re-derivation with fresh code + script re-run on origin/main 0b56e22f56,"1559/1559 codes, judul EXACT 1559, uraian EXACT 1559, ruang_lingkup EXACT 1338 + both-empty 221, per_skala scope divergence only 49213 (4 entries) — all reproduced"
A-ENR-0006,A,ENRICHMENT,,data/source_documents/KBLI_2025_FINAL_CLEAN.json:2,1.0,false,CONFIRMED,independent re-derivation with fresh code + script re-run on origin/main 0b56e22f56,"1559/1559 codes, judul EXACT 1559, uraian EXACT 1559, ruang_lingkup EXACT 1338 + both-empty 221, per_skala scope divergence only 49213 (4 entries) — all reproduced"
A-ENR-0007,A,ENRICHMENT,,data/source_documents/KBLI_2025_FINAL_CLEAN.json:2,1.0,false,CONFIRMED,independent re-derivation with fresh code + script re-run on origin/main 0b56e22f56,"1559/1559 codes, judul EXACT 1559, uraian EXACT 1559, ruang_lingkup EXACT 1338 + both-empty 221, per_skala scope divergence only 49213 (4 entries) — all reproduced"
A-ENR-0008,A,ENRICHMENT,,data/source_documents/KBLI_2025_FINAL_CLEAN.json:2,1.0,false,CONFIRMED,independent re-derivation with fresh code + script re-run on origin/main 0b56e22f56,"1559/1559 codes, judul EXACT 1559, uraian EXACT 1559, ruang_lingkup EXACT 1338 + both-empty 221, per_skala scope divergence only 49213 (4 entries) — all reproduced"
A-ENR-0009,A,ENRICHMENT,,data/source_documents/KBLI_2025_FINAL_CLEAN.json:2,1.0,false,CONFIRMED,independent re-derivation with fresh code + script re-run on origin/main 0b56e22f56,"1559/1559 codes, judul EXACT 1559, uraian EXACT 1559, ruang_lingkup EXACT 1338 + both-empty 221, per_skala scope divergence only 49213 (4 entries) — all reproduced"
A-ENR-0010,A,ENRICHMENT,,data/source_documents/KBLI_2025_FINAL_CLEAN.json:2,1.0,false,CONFIRMED,independent re-derivation with fresh code + script re-run on origin/main 0b56e22f56,"1559/1559 codes, judul EXACT 1559, uraian EXACT 1559, ruang_lingkup EXACT 1338 + both-empty 221, per_skala scope divergence only 49213 (4 entries) — all reproduced"
A-ENR-0011,A,ENRICHMENT,,data/source_documents/KBLI_2025_FINAL_CLEAN.json:2,1.0,false,CONFIRMED,independent re-derivation with fresh code + script re-run on origin/main 0b56e22f56,"1559/1559 codes, judul EXACT 1559, uraian EXACT 1559, ruang_lingkup EXACT 1338 + both-empty 221, per_skala scope divergence only 49213 (4 entries) — all reproduced"
